,carat,cut,color,clarity,depth,table,x,y,z,price
41,0.9,Good,G,SI2,63.8,59,6.05,6.02,3.85,3246
42,1.58,Premium,F,SI2,62.3,60,7.42,7.38,4.61,9290
43,0.43,Premium,F,SI1,60.5,60,4.88,4.84,2.94,1016
44,0.3,Ideal,G,VVS1,61.7,54,4.32,4.34,2.67,764
45,2,Good,I,SI1,63.9,57,8.01,7.91,5.09,12554
46,1.01,Premium,F,I1,62.6,57,6.42,6.3,3.99,2257
47,0.43,Premium,F,VS1,62.5,58,4.85,4.78,3.01,1129
48,0.52,Ideal,G,VVS2,61.7,55,5.21,5.23,3.22,2338
49,0.73,Very Good,E,SI2,62.1,58,5.75,5.81,3.59,2395
50,0.52,Ideal,D,VS2,61.8,55,5.16,5.19,3.2,1822
51,0.5,Premium,F,SI2,58,62,5.21,5.18,3.01,1031
52,1.14,Premium,G,VS2,61.4,60,6.71,6.68,4.11,7079
53,0.78,Premium,F,SI1,62.4,58,5.83,5.8,3.63,2777
54,0.43,Ideal,G,VS1,62.3,56,4.82,4.85,3.01,943
55,0.91,Very Good,G,SI2,62.9,54,6.14,6.22,3.89,3615
56,1.02,Very Good,F,VS1,62.4,58,6.42,6.47,4.02,7587
57,0.52,Good,E,SI1,63.7,54,5.12,5.15,3.27,1388
58,1.21,Ideal,I,VVS1,61.6,55,6.88,6.8,4.21,7086
59,0.5,Good,E,VS2,64.9,59,4.89,4.94,3.19,1389
60,1.01,Premium,G,VVS2,61.7,59,6.44,6.37,3.95,7466
61,0.51,Ideal,F,VVS2,62.6,57,5.13,5.1,3.2,2203
62,0.27,Premium,E,VS1,61.5,58,4.22,4.17,2.58,603
63,1.8,Very Good,E,SI1,62.2,57,7.81,7.89,4.88,17273
64,0.3,Ideal,F,VS1,61.9,55,4.28,4.3,2.66,673
65,1.13,Premium,H,SI1,60.9,59,6.79,6.7,4.11,5050
66,0.38,Premium,I,VS2,61.7,59,4.64,4.6,2.85,812
67,0.54,Premium,F,SI1,59.7,59,5.36,5.3,3.18,1369
68,0.3,Good,I,SI1,63.2,55,4.25,4.29,2.7,405
69,0.51,Ideal,D,SI2,59.8,55,5.23,5.17,3.11,1359
70,0.32,Premium,J,SI1,62.2,59,4.37,4.41,2.73,365
71,0.57,Ideal,F,VVS1,61.1,55,5.36,5.44,3.3,3057
72,0.44,Ideal,I,VVS2,60.8,56,4.9,4.93,2.99,912
73,0.52,Ideal,F,VS2,62.5,56,5.12,5.16,3.21,1629
74,0.7,Premium,E,VS1,58.4,59,5.91,5.83,3.43,2854
75,0.57,Very Good,G,SI2,59.4,58,5.39,5.42,3.21,1214
76,1.22,Ideal,G,VS2,62,57,6.88,6.83,4.25,8062
77,0.59,Ideal,E,SI1,62,55,5.37,5.4,3.34,1664
78,0.51,Ideal,G,VS2,62,56,5.11,5.18,3.19,1343
79,1.2,Premium,G,SI1,62.2,58,6.8,6.7,4.2,5154
80,2.16,Premium,H,SI2,62.3,57,8.29,8.22,5.14,11473
81,0.31,Very Good,G,VS1,60.5,57,4.39,4.42,2.67,640
82,0.4,Ideal,H,VVS2,61.4,55.7,4.72,4.77,2.92,905
83,1.68,Ideal,I,VS2,62.1,57,7.6,7.54,4.7,10800
84,0.9,Very Good,D,SI2,63.5,58,6.08,6.17,3.89,3918
85,0.43,Very Good,E,VS2,62.2,58,4.81,4.87,3.01,869
86,0.76,Ideal,H,VS2,61.9,55,5.85,5.88,3.64,3016
87,0.74,Ideal,E,SI2,,59,5.92,5.97,3.52,2501
88,1.26,Ideal,J,VS2,63.2,57,6.86,6.81,4.32,5306
89,0.41,Very Good,I,VVS2,63.1,56,4.75,4.72,2.99,1061
90,0.3,Ideal,H,VVS1,61.8,55,4.34,4.37,2.69,665
91,0.5,Ideal,F,VVS2,62.3,57,5.06,5.08,3.16,1850
92,0.54,Ideal,E,SI1,62.1,56,5.24,5.19,3.24,1637
93,0.4,Very Good,D,VVS2,59.4,61,4.77,4.82,2.85,977
94,1.51,Very Good,H,SI1,61.7,61,7.3,7.35,4.52,9218
95,0.5,Very Good,E,VVS2,60.9,59,5.07,5.11,3.1,2003
96,0.33,Ideal,E,VS1,60.9,57,4.47,4.5,2.73,850
97,0.9,Ideal,G,VVS1,61.6,57,6.24,6.16,3.82,5564
98,0.72,Very Good,I,SI1,63.2,57,5.71,5.75,3.62,2345
99,0.51,Ideal,G,VS2,61.8,55,5.15,5.18,3.19,1557
100,0.5,Good,G,SI1,63.9,57,5.02,5.06,3.22,1197
101,1.02,Fair,J,SI1,66.8,55,6.25,6.18,4.15,3027
102,0.7,Fair,E,SI1,65.2,58,5.57,5.54,3.62,2318
103,1.69,Ideal,F,VS2,62.2,57,7.59,7.66,4.74,16789
104,1.3,Premium,G,VVS1,60.5,60,7.01,7.05,4.25,11061
105,0.31,Ideal,D,VS1,61.1,55,4.37,4.4,2.68,774
106,1.22,Ideal,G,VS1,60.7,57,6.93,6.94,4.21,9002
107,1,Premium,F,VVS2,60.6,54,6.56,6.52,3.96,8924
108,0.28,Very Good,G,SI1,62,55,4.2,4.25,2.62,382
109,1.01,Good,E,SI1,64.3,59,6.31,6.34,4.07,4766
110,0.41,Very Good,H,VVS2,62,56,4.77,4.81,2.97,873
111,0.55,Very Good,E,SI1,59.7,60,5.31,5.41,3.2,1559
112,1.39,Premium,G,VS2,62,56,7.18,7.14,4.44,8874
113,0.36,Very Good,H,SI2,61.2,55,4.59,4.62,2.81,475
114,0.23,Very Good,E,VVS2,60,56,4.03,4.07,2.43,530
115,1.37,Premium,G,VS2,61.6,59,7.11,7.04,4.36,7951
116,0.31,Ideal,E,VVS1,60.2,61,4.4,4.43,2.66,865
117,0.81,Premium,F,SI1,61.9,59,5.97,5.95,3.69,3043
118,1,Premium,F,SI1,,59,6.4,6.36,4,5292
119,0.31,Ideal,G,VVS1,61.2,56,4.38,4.34,2.67,1046
120,2.02,Very Good,J,SI2,62.4,55,8.05,8.11,5.04,11757
121,0.34,Ideal,H,IF,61.7,56,4.5,4.51,2.78,863
122,0.3,Ideal,G,VVS1,61.3,56,4.3,4.34,2.65,789
123,1.68,Premium,F,SI1,60.7,62,7.72,7.66,4.67,12681
124,0.77,Ideal,E,SI2,60.7,55,6.01,5.95,3.63,2834
125,2.8,Premium,I,SI2,61.1,59,9.03,8.98,5.5,15030
126,0.9,Premium,I,VS2,61.2,62,6.19,6.13,3.77,3338
127,0.76,Very Good,E,SI1,63,59,5.76,5.8,3.64,2668
128,0.55,Premium,G,SI2,60.3,58,5.35,5.33,3.22,1186
129,0.31,Fair,G,VVS2,65.5,58,4.25,4.24,2.78,629
130,0.4,Premium,D,SI2,60.4,59,4.8,4.83,2.91,666
131,1.56,Premium,G,VS2,61.9,58,7.44,7.4,4.59,13299
132,0.3,Ideal,G,VVS2,62.7,57,4.26,4.29,2.68,684
133,0.31,Ideal,E,VS1,61.8,56,4.34,4.33,2.68,942
134,0.31,Ideal,E,VVS1,61.3,56,4.38,4.4,2.69,1105
135,0.3,Ideal,H,VS1,61.6,55,4.27,4.3,2.64,526
136,2.2,Ideal,G,SI2,59.9,57,8.54,8.49,5.1,14691
137,0.73,Very Good,E,VS1,62.1,60,5.71,5.79,3.57,3353
138,0.9,Good,H,VS2,61.5,61,6.15,6.24,3.81,4156
139,0.75,Ideal,F,VS2,62.1,57,5.8,5.82,3.61,3081
140,0.5,Very Good,D,SI1,60.3,59,5.11,5.14,3.09,1415
141,0.4,Ideal,E,VS2,61.4,57,4.78,4.75,2.92,1150
142,0.41,Ideal,D,VVS2,62.3,57,4.76,4.74,2.96,1356
143,0.41,Premium,E,VS1,62.3,59,4.74,4.76,2.96,1079
144,0.36,Premium,J,SI1,61.3,60,4.59,4.52,2.79,541
145,1.71,Ideal,G,VS1,63,56,7.65,7.58,4.8,17009
146,1.02,Premium,H,SI1,60.3,59,6.5,6.44,3.9,4558
147,0.59,Very Good,F,SI1,61.7,57,5.39,5.43,3.34,1412
148,0.9,Very Good,D,VS2,63,62,6.06,6.13,3.84,4668
149,1.11,Premium,E,SI2,,61,6.66,6.61,4.09,4177
150,0.9,Very Good,F,SI1,62.5,62,6.08,6.11,3.81,3950
151,0.92,Very Good,E,VS1,60.9,61,6.22,6.25,3.8,5453
152,1.45,Very Good,J,VS2,62.8,57,7.14,7.17,4.49,6671
153,1.16,Ideal,I,VS2,61.5,57,6.78,6.75,4.16,5302
154,1.01,Premium,E,SI2,61.6,56,6.45,6.4,3.96,4751
155,0.7,Ideal,D,VVS2,60.9,59,5.69,5.73,3.48,3737
156,0.32,Ideal,G,IF,61.4,55,4.42,4.44,2.72,898
157,0.91,Very Good,G,SI2,60,57,6.27,6.32,3.78,3531
158,0.58,Ideal,D,SI2,62.7,56,5.32,5.3,3.33,1442
159,0.51,Ideal,E,SI1,62.4,55,5.14,5.09,3.19,1443
160,0.31,Ideal,F,VS2,62.6,57,4.27,4.33,2.69,625
161,0.97,Ideal,G,SI2,62.7,57,6.31,6.28,3.95,4101
162,1.03,Ideal,J,SI2,62.4,56,6.44,6.48,4.03,4054
163,0.3,Good,E,VVS2,59.8,64,4.34,4.29,2.58,814
164,1,Very Good,F,VS2,,55,6.39,6.44,3.99,6340
165,0.5,Very Good,E,VS1,63.9,55,4.98,5.03,3.2,1604
166,0.59,Ideal,I,VVS1,61.2,56,5.42,5.46,3.33,2049
167,0.26,Very Good,E,VS2,60.4,58,4.15,4.19,2.52,452
168,1,Good,D,VS1,64,58,6.27,6.21,3.99,6250
169,0.9,Very Good,D,SI1,61,63,6.13,6.1,3.73,4304
170,0.31,Ideal,D,SI1,62,55,4.36,4.38,2.71,571
171,1.53,Very Good,F,SI1,58.5,59,7.55,7.62,4.44,11713
172,0.81,Ideal,F,SI1,61.9,57,5.98,6.01,3.71,2977
173,0.32,Very Good,F,VS2,61.4,58,4.37,4.42,2.7,556
174,0.7,Very Good,F,SI1,60.3,57,5.73,5.77,3.47,2343
175,1,Fair,F,VS2,68.3,58,5.98,5.95,4.08,4312
176,0.34,Very Good,G,VS1,60.4,61,4.48,4.53,2.72,686
177,0.71,Ideal,G,SI1,62.5,57,5.72,5.64,3.55,2215
178,0.5,Fair,E,SI1,66.5,58,4.87,4.9,3.25,1098
179,0.32,Ideal,E,VVS2,62,54,4.41,4.43,2.74,790
180,1.63,Ideal,I,SI1,61.3,56,7.64,7.56,4.66,9694
181,0.96,Ideal,F,VS1,61.2,56,6.34,6.38,3.89,5767
182,1.24,Premium,H,SI2,61.2,57,7.02,6.87,4.25,5694
183,0.51,Very Good,H,VS1,62.3,57,5.1,5.12,3.18,1628
184,0.4,Good,H,VS2,63.1,62,4.75,4.66,2.97,717
185,1.21,Very Good,I,SI1,63.3,60,6.76,6.69,4.26,4404
186,0.43,Ideal,E,SI1,,56,4.82,4.79,3.01,975
187,0.72,Ideal,F,SI1,61.7,55,5.74,5.77,3.55,2470
188,0.75,Very Good,I,SI1,63.7,56,5.73,5.77,3.66,2300
189,0.42,Ideal,G,VVS2,60.6,56,4.86,4.88,2.95,933
190,0.9,Ideal,E,SI1,61.7,57,6.21,6.24,3.84,4940
191,0.32,Ideal,D,VS2,61.7,54,4.38,4.43,2.72,758
192,0.39,Premium,E,VS2,62.5,60,4.64,4.67,2.91,889
193,1.01,Very Good,I,SI2,63.2,58,6.34,6.31,4,3309
194,0.61,Ideal,F,VVS2,61.7,55,5.45,5.48,3.37,2833
195,0.54,Ideal,F,VVS2,61.8,55,5.27,5.25,3.25,2333
196,0.71,Ideal,E,VS2,62,55,5.72,5.77,3.56,3421
197,1.01,Very Good,G,VS1,58.8,58,6.52,6.61,3.86,6777
198,0.24,Ideal,F,VVS2,61.6,54,4,4.09,2.49,552
199,0.24,Ideal,F,VVS1,61.8,55,4,4.03,2.48,678
200,0.58,Premium,F,VS2,62.2,55,5.4,5.31,3.33,1586
201,1.01,Good,E,SI2,63.7,55,6.38,6.31,4.05,4118
202,0.9,Very Good,J,SI1,63.6,57,6.07,6.1,3.87,3225
203,0.72,Ideal,G,SI2,61.5,55,5.79,5.82,3.57,2420
204,0.7,Very Good,G,VS2,63.1,55,5.64,5.61,3.55,2657
205,2.01,Premium,G,SI2,59.4,58,8.19,8.15,4.85,15562
206,0.51,Very Good,G,VS2,62.4,62,5.07,5.09,3.17,1438
207,1.2,Premium,E,VS2,62.2,59,6.82,6.78,4.23,8602
208,1.24,Ideal,G,VS2,62,57,6.87,6.84,4.25,9188
209,1.26,Very Good,G,SI1,63.2,61,6.87,6.81,4.32,7000
210,0.33,Ideal,F,VS2,61.3,56,4.43,4.47,2.73,666
211,0.58,Ideal,E,SI1,61.6,55,5.33,5.38,3.3,1636
212,0.41,Ideal,G,VS1,61.9,57,4.81,4.76,2.96,961
213,1.19,Ideal,G,VVS2,60.8,59,6.84,6.81,4.15,9524
214,0.9,Very Good,G,SI2,61.1,55,6.21,6.26,3.81,3445
215,1.52,Premium,I,SI1,61.9,58,7.42,7.37,4.58,8631
216,1.5,Very Good,F,VS1,60.5,55,7.39,7.48,4.5,15585
217,1.22,Ideal,I,SI1,62.3,58,6.8,6.82,4.24,6398
218,0.3,Very Good,G,IF,62.9,58,4.21,4.25,2.66,895
219,1,Very Good,E,VS1,63,56,6.39,6.41,4.03,7453
220,0.24,Very Good,H,VVS2,61.4,57,4.02,4.04,2.47,449
221,1.01,Very Good,E,VS2,63.4,60,6.37,6.31,4.02,6787
222,1.7,Ideal,J,SI2,60.5,57,7.74,7.84,4.71,8505
223,0.55,Premium,E,VS2,61.4,57,5.29,5.27,3.24,1881
224,0.34,Very Good,E,SI1,60.3,57,4.53,4.56,2.74,596
225,0.44,Ideal,D,VVS1,61,57,4.91,4.93,3,2290
226,0.79,Ideal,D,SI1,61.1,57,5.94,6,3.65,3209
227,0.67,Good,F,VS1,59.8,60.3,5.62,5.69,3.38,2479
228,0.31,Premium,H,SI1,61,61,4.39,4.33,2.66,558
229,1.22,Ideal,H,SI1,61.9,55,6.82,6.87,4.24,7870
230,1.5,Good,H,SI2,59.8,61,7.39,7.49,4.45,6798
231,0.9,Ideal,G,SI2,62.5,56,6.15,6.2,3.86,3521
232,0.38,Ideal,F,VS2,62.2,54,4.64,4.66,2.89,870
233,1.01,Ideal,G,VS1,61.8,57,6.45,6.4,3.97,6618
234,0.3,Ideal,F,VVS2,61.7,56,4.32,4.34,2.67,694
235,0.71,Good,E,SI2,58.8,63,5.75,5.88,3.42,2120
236,1.21,Premium,H,IF,62.2,58,6.83,6.8,4.24,8446
237,1,Ideal,F,VS2,62.6,57,6.4,6.35,3.99,6804
238,0.9,Very Good,D,SI2,60.3,63,6.12,6.22,3.72,3534
239,0.91,Very Good,H,VS1,63.4,56,6.18,6.12,3.9,4224
240,0.41,Ideal,D,VVS2,62.5,57,4.75,4.72,2.96,1181
241,0.39,Ideal,E,SI1,61.1,55,4.74,4.75,2.9,628
242,1.28,Premium,H,SI2,60.2,58,7.13,7.03,4.26,6093
243,0.32,Very Good,G,VS2,60.9,58,4.42,4.45,2.7,564
244,0.25,Good,D,VVS2,57.5,61,4.16,4.19,2.4,548
245,1.01,Very Good,G,VVS1,61.8,59,6.47,6.41,3.98,8373
246,0.31,Ideal,H,SI1,61.5,55,4.39,4.42,2.71,464
247,0.9,Ideal,E,SI2,62.6,57,6.13,6.2,3.86,3808
248,0.71,Ideal,I,SI1,62.2,55,5.7,5.75,3.56,2376
249,0.44,Good,E,VS2,59,64,5.01,4.94,2.93,1001
250,0.33,Premium,I,VVS2,62.1,56,4.45,4.41,2.75,743
251,0.56,Ideal,G,IF,62,56,5.3,5.32,3.29,2442
252,0.24,Very Good,E,VVS2,60,57,4.07,4.1,2.45,552
253,0.36,Very Good,F,SI1,60.7,54,4.64,4.67,2.83,641
254,0.41,Ideal,D,VS2,62.8,55,4.73,4.7,2.96,1076
255,0.31,Ideal,F,IF,62.2,55,4.35,4.38,2.71,921
256,0.52,Very Good,G,VS1,62.3,58,5.14,5.17,3.21,1629
257,0.43,Ideal,D,SI1,61.6,56,4.86,4.82,2.98,1036
258,1.53,Premium,G,VS1,61,60,7.43,7.4,4.52,14344
259,0.41,Ideal,I,IF,,57,4.78,4.81,2.93,953
260,0.59,Ideal,E,VS2,61.4,58,5.38,5.4,3.31,1657
261,0.4,Very Good,F,SI1,63.1,58,4.69,4.66,2.95,882
262,0.71,Premium,D,VS2,58.7,61,5.88,5.85,3.44,2968
263,1.09,Ideal,F,VVS2,62.5,55,6.6,6.52,4.1,9845
264,2.11,Premium,G,SI2,62.2,60,8.19,8.15,5.08,16336
265,0.34,Ideal,G,VVS1,60.5,55,4.53,4.56,2.75,844
266,0.71,Very Good,E,SI2,62.2,58,5.68,5.73,3.55,2313
267,0.43,Ideal,D,VS2,62,55,4.86,4.81,3,1129
268,0.38,Ideal,H,SI1,61.2,56,4.68,4.63,2.85,834
269,1.17,Very Good,G,SI1,63.3,61,6.65,6.59,4.19,5025
270,1.22,Ideal,G,VS2,62,55,6.83,6.91,4.26,7923
271,0.5,Ideal,G,VVS1,62.2,54,5.1,5.13,3.18,1883
272,0.55,Ideal,F,VVS2,61.5,57,5.24,5.27,3.23,2294
273,0.41,Ideal,H,VVS2,62,56,4.74,4.78,2.95,899
274,0.82,Premium,G,SI2,62.3,58,5.96,5.98,3.72,2456
275,0.39,Ideal,G,VS2,62.5,54,4.67,4.7,2.93,857
276,0.53,Very Good,J,VS2,60.9,59,5.2,5.27,3.19,1023
277,0.51,Very Good,G,VVS2,61.7,58,5.13,5.18,3.18,1875
278,0.23,Very Good,F,VS1,59.8,57,4.04,4.06,2.42,402
279,0.36,Premium,E,VS2,61.3,60,4.59,4.54,2.8,1013
280,0.46,Good,D,VS2,63.2,56,4.89,4.92,3.1,1205
281,0.7,Good,H,VVS1,62.7,56,5.6,5.66,3.53,2877
282,2.11,Premium,E,SI2,62.4,61,8.19,8.1,5.08,18034
283,0.7,Premium,E,SI1,59.7,60,5.81,5.79,3.46,2394
284,2.43,Ideal,I,SI2,62.3,59,8.54,8.61,5.34,17856
285,0.3,Ideal,E,VS2,61.3,57,4.33,4.29,2.64,844
286,0.51,Very Good,G,VS1,62.7,56,5.08,5.13,3.2,1656
287,1.03,Premium,J,SI1,61.1,61,6.49,6.44,3.95,3749
288,0.7,Very Good,F,VVS2,58.7,63,5.82,5.79,3.41,3234
289,0.41,Premium,E,VS1,59.9,58,4.83,4.88,2.91,1079
290,0.72,Ideal,F,SI1,61.8,57,5.68,5.74,3.53,2440
291,0.77,Good,H,SI1,63,65,5.82,5.74,3.64,2393
292,0.35,Ideal,I,VS1,60.9,57,4.59,4.54,2.78,709
293,0.38,Ideal,D,VS1,62.5,56,4.64,4.67,2.91,1067
294,0.31,Premium,G,VS1,62.1,58,4.31,4.35,2.69,625
295,0.54,Ideal,G,VVS2,61,56,5.25,5.3,3.22,1985
296,0.32,Ideal,G,VVS2,61.6,55,4.4,4.43,2.72,708
297,0.4,Ideal,D,SI1,61.8,55,4.74,4.78,2.94,772
298,0.35,Ideal,F,VVS2,62.1,56,4.52,4.56,2.82,745
299,0.31,Very Good,E,SI1,63.2,59,4.33,4.28,2.72,698
300,1.65,Ideal,J,SI1,62.5,56,7.59,7.54,4.73,8334
301,1.69,Ideal,F,SI1,63,57,7.62,7.55,4.78,13872
302,0.33,Ideal,E,VS1,61.1,56,4.45,4.48,2.73,850
303,0.52,Very Good,E,VS1,59.1,58,5.31,5.38,3.16,1875
304,0.35,Very Good,H,SI2,63.2,61,4.49,4.47,2.83,551
305,0.42,Very Good,F,VS1,60.9,58,4.84,4.88,2.96,910
306,0.7,Good,F,SI1,64.1,56,5.63,5.6,3.6,2289
307,0.9,Very Good,I,VS2,63.4,57,6.07,6.1,3.86,3489
308,0.71,Very Good,J,SI2,60.9,55,5.76,5.87,3.54,1986
309,0.84,Good,G,VS1,63.6,57,5.98,5.93,3.79,3316
310,0.54,Premium,D,SI1,62.6,57,5.21,5.12,3.23,1650
311,0.7,Ideal,H,SI2,59.9,57,5.77,5.74,3.45,2142
312,0.57,Ideal,F,VVS1,62.5,56,5.27,5.32,3.31,2682
313,0.56,Ideal,I,VS2,62.1,54,5.3,5.33,3.3,1237
314,0.71,Premium,F,VS1,,58,5.71,5.67,3.57,2879
315,0.59,Ideal,H,VS2,62.2,59,5.38,5.34,3.33,1648
316,0.41,Ideal,G,SI2,61.3,56,4.78,4.81,2.94,605
317,1.04,Ideal,D,IF,61.8,57,6.49,6.52,4.02,14494
318,0.38,Premium,F,VS2,60.9,56,4.72,4.67,2.86,1026
319,0.9,Very Good,D,SI1,62.5,59,6.11,6.15,3.83,4579
320,0.73,Ideal,E,VS2,62.4,57,5.75,5.79,3.6,3201
321,0.3,Good,H,SI1,63.4,60,4.23,4.25,2.69,432
322,0.71,Ideal,D,VVS2,61.6,56,5.69,5.77,3.53,4222
323,0.7,Good,H,VS2,63.8,60,5.59,5.51,3.54,2083
324,0.32,Ideal,J,IF,62.2,56,4.37,4.41,2.73,533
325,1.74,Ideal,D,SI2,64.5,56,7.56,7.54,4.87,12361
326,0.57,Ideal,D,VS2,61.8,56,5.31,5.34,3.29,1998
327,1.11,Premium,E,SI2,62.5,58,6.63,6.61,4.14,4664
328,0.34,Premium,G,VS2,60.3,58,4.49,4.53,2.72,596
329,0.8,Very Good,E,VS1,62.4,54,5.98,5.94,3.72,4495
330,1.83,Premium,I,SI1,62.9,55,7.9,7.78,4.93,11883
331,0.9,Premium,G,I1,61.3,59,6.2,6.15,3.78,1777
332,0.7,Ideal,H,VS2,62.4,58,5.67,5.71,3.55,2429
333,0.32,Ideal,E,VVS2,61.3,55,4.41,4.43,2.71,1010
334,1.51,Premium,G,SI1,61.6,59,7.32,7.3,4.5,10739
335,1.5,Fair,G,VS2,64.4,56,7.16,7.09,4.59,12787
336,0.23,Very Good,E,VVS1,61.8,59,3.9,3.93,2.42,530
337,1.52,Premium,D,SI2,60.6,62,7.42,7.37,4.48,9561
338,1.25,Premium,J,SI2,61.5,57,7,6.93,4.28,4690
339,0.52,Very Good,F,VS2,63.9,57,5.08,5.12,3.26,1550
340,1.02,Premium,G,SI2,62.9,59,6.4,6.38,4.02,4370
341,1.16,Premium,G,VS1,61.9,58,6.76,6.72,4.17,8107
342,0.42,Premium,D,VS2,61.3,58,4.8,4.83,2.95,825
343,0.42,Ideal,D,SI1,61.5,56,4.85,4.81,2.97,1040
344,2.01,Very Good,H,SI1,63.5,57,7.96,7.88,5.03,14725
345,0.51,Very Good,E,VS1,,54.7,5.12,5.15,31.8,1970
346,1.15,Ideal,H,I1,62,55,6.76,6.69,4.17,3606
347,0.7,Ideal,G,VS1,60.6,57,5.73,5.79,3.5,3384
348,0.42,Ideal,G,VS2,61.6,56,4.82,4.83,2.97,847
349,1.5,Premium,H,SI1,62.4,58,7.33,7.28,4.56,9697
350,0.44,Good,J,VS1,63.1,57,4.83,4.87,3.06,694
351,1.7,Premium,I,VS2,61.7,59,7.63,7.68,4.72,11257
352,0.96,Fair,F,SI2,65.2,58,6.14,6.12,3.99,3688
353,1.02,Very Good,H,VS2,62.5,56,6.42,6.45,4.02,5217
354,0.7,Very Good,E,SI1,61.7,62,5.64,5.68,3.49,2569
355,1.01,Good,G,SI1,60.7,59,6.35,6.4,3.87,4672
356,0.6,Premium,D,SI1,62.9,58,5.39,5.33,3.37,1799
357,0.9,Very Good,G,VS2,61.5,60,6.13,6.16,3.78,4386
358,1.13,Very Good,E,SI1,62.7,57,6.62,6.65,4.16,4922
359,0.91,Premium,H,VS2,60.6,58,6.3,6.25,3.8,4293
360,0.31,Ideal,E,IF,61.9,56,4.35,4.37,2.7,1060
361,1.02,Very Good,F,SI2,58.7,63,6.49,6.46,3.8,3875
362,1.51,Very Good,E,SI2,62.8,59,7.24,7.31,4.57,9058
363,1.06,Very Good,G,I1,60.7,63,6.59,6.56,3.99,2080
364,1.51,Premium,D,SI1,62.2,59,7.34,7.29,4.55,10122
365,1.24,Ideal,I,SI1,61.1,60,6.94,6.91,4.23,5976
366,0.73,Ideal,G,VS2,62.5,56,5.78,5.74,3.6,2586
367,0.41,Ideal,D,VS2,61.7,56,4.81,4.78,2.96,1076
368,0.29,Very Good,I,VS2,,55,4.25,4.27,2.66,384
369,0.53,Ideal,J,SI2,61.9,54,5.2,5.23,3.23,856
370,1.5,Premium,E,SI2,61.5,60,7.29,7.22,4.46,7182
371,0.3,Good,F,IF,60,63,4.3,4.36,2.6,742
372,0.32,Ideal,E,VS2,62.3,54,4.4,4.37,2.73,900
373,0.81,Premium,H,SI2,60,59,6.03,5.97,3.62,2344
374,0.27,Premium,E,VVS1,60.6,58,4.2,4.18,2.54,799
375,1.39,Ideal,J,VS2,60.9,57,7.2,7.25,4.4,6831
376,0.33,Very Good,F,VVS2,61.6,57,4.44,4.46,2.74,801
